Country,2021_Overall score,2021_Government,2021_Technology Sector,2021_Data and Infrastructure,2022_Overall score,2022_Government,2022_Technology Sector,2022_Data and Infrastructure,2023_Overall score,2023_Government,2023_Technology Sector,2023_Data and Infrastructure,2024_Overall score,2024_Government,2024_Technology Sector,2024_Data and Infrastructure
Nepal,31.92381466,33.27806125,24.4664062,38.02697654,30.75440133,30.88235512,23.49741367,37.88343519,30.76702139,31.03723043,24.20633458,37.05749915,33.1391886,30.60907606,25.4355128,30.26647414
Cameroon,31.88317068,34.57563333,23.77342706,37.30045164,30.76487031,31.31477812,22.69682714,38.28300568,30.27139432,30.90777318,22.07029072,37.83611905,33.45955988,30.10159683,28.64276544,22.37487226
Uganda,31.75694309,35.96645479,22.19552307,37.10885141,32.65923191,37.77973358,19.49366267,40.70429948,33.43858135,38.0565942,20.96010402,41.29904581,34.63065106,35.56883653,22.22612533,30.20307279
Nicaragua,31.57349015,30.40754044,22.45148964,41.86144037,28.33073126,24.58503828,21.29809793,39.10905756,29.77142753,24.53239782,26.32827649,38.45360829,28.53113047,20.07329212,21.88264401,23.03249594
Myanmar,31.56724078,24.79639344,27.54240591,42.362923,32.44565026,24.25865227,25.90623897,47.17205953,30.91231228,21.62609291,27.97578127,43.13506265,34.25868139,24.23662944,33.85405807,32.98938505
Zambia,31.21443781,35.08367917,21.93263441,36.62699985,29.63139333,31.55205028,19.59174691,37.75038278,32.3597691,32.32460295,20.33342862,44.42127573,41.87395066,60.77581198,23.21623235,24.23287398
Congo,30.419714,30.49026012,20.96616681,39.80271505,26.20229526,23.33285462,18.63822597,36.63580518,24.19288771,22.49830238,19.68339649,30.39696425,25.11623832,22.4009496,22.70723092,19.84714771
Cuba,30.37906954,20.75486435,29.67096768,40.71137658,31.5867537,24.36882628,27.04447266,43.34696216,35.52053817,35.32477317,27.08680364,44.15003771,42.43439145,51.55003678,26.75681083,26.95145779
Mali,30.13971936,31.81294708,22.00065569,36.60555531,27.33914838,24.82827613,19.43419525,37.75497377,27.44682921,24.70630087,19.11590336,38.51828339,32.26614045,25.99652474,22.44388118,25.37329376
Lesotho,29.84210131,23.2597128,20.77556826,45.49102287,26.13355368,25.81373898,19.06816847,33.51875359,26.20904086,25.41368604,20.45978938,32.75364715,28.21246421,24.66286577,21.07745587,13.65685754
Eswatini,29.75608844,28.58509805,21.52538216,39.15778509,25.45708209,23.06173257,15.64757143,37.66194225,27.05304403,23.799385,18.21332986,39.14641722,36.2250206,29.11354894,26.19835759,29.99774771
Mauritania,29.6239225,25.74254284,21.53654416,41.59268051,28.40270536,21.79040339,19.57288566,43.84482704,27.09355128,22.21189093,22.27035699,36.79840591,41.39992651,50.11835718,29.10376253,25.94334771
Madagascar,29.5299684,31.16055849,20.44270645,36.98664025,28.2580958,25.10244127,19.50986936,40.16197676,28.47313128,25.00503139,19.27536061,41.13900185,28.80438299,25.29606193,21.19296443,17.7642124
Sierra Leone,29.39077071,32.59032079,19.6524166,35.92957475,24.49171892,22.45718798,17.8420762,33.17589257,24.82502865,21.8546873,18.1005978,34.51980085,25.33586896,21.95526898,17.72473624,13.60840114
Zimbabwe,29.14901401,26.45496813,22.28272396,38.70934995,29.26484257,24.24929831,20.29389312,43.25133628,30.70795467,24.08378789,23.40642844,44.63364769,32.59211942,23.6941344,27.81535935,21.91856478
Benin,28.7305943,34.76075444,21.60838924,29.82263921,35.83543571,48.39553051,22.98781191,36.12296472,41.37191592,61.38112188,24.46194488,38.27268101,42.96796567,59.91827431,24.30256725,26.59020079
Liberia,28.13823481,31.71777912,19.72336411,32.97356121,22.09001172,19.75555304,18.44706235,28.06741976,22.24370998,19.2801873,19.90410165,27.54684101,23.12197991,16.57606519,20.89076206,15.95157533
Ethiopia,27.9477856,34.65174188,20.5724471,28.61916782,25.30098938,25.1468315,19.70338128,31.05275538,32.58526198,37.29089283,20.3517131,40.11318002,38.33624612,51.46134117,21.57147675,18.63543093
Niger,27.80891145,33.31036245,20.09102384,30.02534806,23.72363429,25.6262542,16.14710711,29.39754157,24.70831185,25.47542804,15.87601463,32.77349288,25.74480776,24.21976233,17.14671665,16.82533633
Guinea,27.54707074,27.77520834,22.21981923,32.64618465,27.81521975,26.32642284,19.94425872,37.17497771,27.44381327,26.65264147,19.98545863,35.69333971,30.21187153,25.62621015,22.23596587,22.94154771
Mozambique,26.23467412,32.27862063,17.59720136,28.82820036,22.54020961,21.38264467,16.06543379,30.17255038,25.62313593,21.90301976,17.81828455,37.14810347,24.22293552,20.86370912,18.23382502,15.38123093
Sudan,25.91396992,24.83117079,21.61876464,31.29197435,22.5547595,16.54640817,21.15960483,29.95826551,24.51062958,15.42392804,23.35432928,34.75363142,24.62888147,13.32060728,24.28553347,20.07781359
Haiti,25.13503439,24.24280794,14.67388414,36.48841109,18.60688175,9.71664275,15.10725259,30.99674992,21.97179066,8.924944199,22.89019916,34.10022863,20.05762277,7.521644341,18.61138891,15.50489594
Malawi,24.84849018,28.57099729,18.42597412,27.54849913,24.459898,21.88389761,17.16847091,34.32732546,24.8675796,22.00016384,20.49032924,32.11224573,29.31673864,27.84723617,23.78700918,16.69881238
Afghanistan,24.37809891,25.67053333,9.229463696,38.2342997,13.45795858,14.45917285,10.7048567,15.20984618,21.26871333,13.99,21.70519182,28.11094818,16.92451775,8.268876641,22.45575212,7.224
Chad,24.00477702,27.58348187,14.41182161,30.01902758,20.57569578,21.02716014,15.20805698,25.49187022,23.43794877,21.10354983,16.65135829,32.55893819,22.65971835,20.94211574,18.22186653,15.21322855
Burundi,23.7171165,28.39722633,19.05772835,23.69639483,20.52919336,18.72155933,15.89109458,26.97492616,20.87315154,18.44359423,16.21387179,27.9619886,21.13442437,16.61896912,18.94768825,14.32973633
Democratic Republic of the Congo,23.32239331,27.45853922,16.7226113,25.7860294,20.21793742,18.66850347,14.15597096,27.82933784,21.46831729,18.3617308,16.38773762,29.65548344,22.09794558,17.96264516,15.99372206,11.87954271
Angola,22.86557857,27.30429614,13.8571604,27.43527918,24.76924364,21.33362502,14.98163928,37.99246663,29.14025605,22.54808602,18.50621633,46.36646581,26.90798042,19.7326763,15.86558667,16.6825532
Central African Republic,20.73444159,15.01155412,19.21036877,27.98140187,19.90049863,14.50047077,17.36244365,27.83858148,19.73651251,13.51276137,17.639778,28.05699816,20.26173459,12.06920737,19.94503949,13.66873633
Yemen,17.92941373,15.84583278,17.91432,20.0280884,17.3219318,18.3893155,22.04606002,11.53041988,19.88707052,19.59392041,30.93646737,9.130823782,14.62247898,12.89916644,20.40763167,11.54853903
